,country_pre,behavior,level,survey_response_information_version,value,group
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
Poland,Poland,vaccine,high,1,66,Broad
Poland,Poland,vaccine,high,2,69,Broad
Poland,Poland,vaccine,high,3,69,Broad
Poland,Poland,vaccine,high,4,69,Broad
Poland,Poland,vaccine,high,5,69,Broad
Poland,Poland,vaccine,high,6,72,Broad
Poland,Poland,vaccine,high,7,78,Broad
Poland,Poland,vaccine,high,8,79,Broad
Poland,Poland,vaccine,high,9,78,Broad
Poland,Poland,vaccine,high,10,77,Broad
Poland,Poland,vaccine,high,11,77,Broad
Poland,Poland,vaccine,low,1,38,Narrow
Poland,Poland,vaccine,low,2,40,Narrow
Poland,Poland,vaccine,low,3,40,Narrow
Poland,Poland,vaccine,low,4,38,Narrow
Poland,Poland,vaccine,low,5,40,Narrow
Poland,Poland,vaccine,low,6,49,Narrow
Poland,Poland,vaccine,low,7,59,Narrow
Poland,Poland,vaccine,low,8,61,Narrow
Poland,Poland,vaccine,low,9,60,Narrow
Poland,Poland,vaccine,low,10,59,Narrow
Poland,Poland,vaccine,low,11,59,Narrow
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Poland,Poland,0,0,0,0,Country Belief
Romania,Romania,vaccine,high,1,68,Broad
Romania,Romania,vaccine,high,2,69,Broad
Romania,Romania,vaccine,high,3,69,Broad
Romania,Romania,vaccine,high,4,68,Broad
Romania,Romania,vaccine,high,5,70,Broad
Romania,Romania,vaccine,high,6,73,Broad
Romania,Romania,vaccine,high,7,76,Broad
Romania,Romania,vaccine,high,8,79,Broad
Romania,Romania,vaccine,high,9,78,Broad
Romania,Romania,vaccine,high,10,76,Broad
Romania,Romania,vaccine,high,11,74,Broad
Romania,Romania,vaccine,low,1,42,Narrow
Romania,Romania,vaccine,low,2,43,Narrow
Romania,Romania,vaccine,low,3,43,Narrow
Romania,Romania,vaccine,low,4,42,Narrow
Romania,Romania,vaccine,low,5,45,Narrow
Romania,Romania,vaccine,low,6,50,Narrow
Romania,Romania,vaccine,low,7,58,Narrow
Romania,Romania,vaccine,low,8,62,Narrow
Romania,Romania,vaccine,low,9,60,Narrow
Romania,Romania,vaccine,low,10,58,Narrow
Romania,Romania,vaccine,low,11,57,Narrow
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
Romania,Romania,0,0,0,0,Country Belief
